標題,連結,內文,來源,時間
南韓暴雨不歇 仁川機場24架次國際航班取消、北韓未通知南韓逕自開閘門洩洪,https://news.google.com/read/CBMi2ANBVV95cUxOR2FZSWExYmNZUG8za2ItQy1WU1V3RndnVWoxYUNnSGpwd0ptLW1RcmIzMnY0Yno0aTcybmFUZkdCM3NIa2RGckx4RUZDU01uUVp2dlFaZVdibk9hUkMyanNMcG1QUkZZQ3FvR2h3RWhjTXRTMlRtZ0Yzb2pzbkVRYWRySEJoSG9hSWNfX2ZTY3E3T2hNYk02VDJNeFRCeEl4VUtCRTJZaTNDMmFELXkxY0E0SzNuSGdtMTRPVDkyYjd0eXRYRHE3SVNZWUN5T2xvN05WVHlWR3BibjAzVHFMWTBZN3ZWR1VmcWFaVVZFbVI5UlFIRWUwc0hraTdocC0ycGRZTy05dlU2Sktsb2p5Q0g2SFFFU28tODhuV3l3ZnFsX3BiaHlxYmdLYjQxNWtxYUUzenktb1pkSkEzOXlDbTdOdUtqS3I3QnFYQXh5dUNnZC1IdzJIeEtlUW1XU2xrSnZhZGRUMjNxdmxFRk5nby1zTkRZYVpkMUFnaXl1YjY4M2lHWjVqamtTeEJISExPRkRVUlVZYzBqUkhYTXBqMWp5dEVZeFNGajNEMlhoTDlLemFscHhjWjVsSXQyYms5cUZYbVhFNGVLZ2lrY2htN0J0WXpJY3p0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"包括首都首爾在內的南韓中部及北部近日豪雨不歇，釀成洪災。南韓氣象廳預測，到了明天（07/19），最大降雨量累計已超過300毫米。暴雨導致仁川機場今天子夜至上午8點間的航班大亂，25架次自仁川起飛的國際航班取消，4架次航班起飛後被迫返航。
南韓氣象廳16日即已發出大雨警報，警告民眾將有3天強降雨。這波豪雨實際上已持續逾一週，不但造成首爾地鐵一度停駛，數條公路封閉，多地釀土石流，民宅泡在水中。
路透社報導，南韓政府今天已下令住在河岸附近的中部地區民眾立即疏散。
韓聯社報導，南方北太平洋高壓和北部大範圍乾燥氣流接觸，形成強勢降雨雲帶，加上中尺度低壓發達，導致韓國中部地區持續暴雨。氣象廳今天（07/18）指出，南韓中部迄今晚的每小時降雨量將介於30至60毫米，最大降雨量估計將超過每小時70毫米。
到明天凌晨，滯留鋒將隨著北太平洋高壓的收縮而南下，且西南部海域將再有中尺度低壓經過，南部地區恐出現每小時20至30毫米的降雨。
根據氣象廳預報，中部地區截至19日最大降雨量將達150毫米，其中首都圈、江原內陸及山區、忠清、湖南（全羅道）降雨量約30至100毫米，首都圈及全羅北道更可能達到150毫米以上。
南韓這波雨勢估計將持續至21日，22日後鋒面北上，除了首都圈和江原道仍有降雨，南部地區將轉為高溫天氣。
南韓洪災也意外引發與北韓的新一波齟齬。南韓統一部官員今天表示，上月28日已要求北韓方面在打開兩韓邊界臨津江的黃江水壩閘門前，要提前通知韓方，但平壤當局仍於9日在未通知的情況下逕自開閘洩洪，對此深感遺憾。
2009年9月，北韓在未事先通知南韓的情况下打開黄江水壩閘門洩洪，造成在京畿道漣川郡一带露營的6名南韓民眾死亡，21輛汽車被淹。
南韓國防部則警告，北韓可能利用這波暴雨，埋入更多地雷，讓它們順著洪水與泥流進入南韓。
儘管每年7月是南韓雨季，但今年這波雨勢過於猛烈，南韓總統尹錫悅說，應將視為氣候變遷造成的影響。
更多太報報導
范斯正式接受川普副手提名 演講鎖定搖擺州「職業政客害慘我們」
華爾街日報向川普解釋：台灣不只晶片重要 還攸關太平洋區域穩定",Yahoo奇摩新聞,7月18日
德里大雨街道車輛泡水 空中交通也受影響,https://news.google.com/read/CBMiWkFVX3lxTFAzQXVCRTNXUExTWUx0empvYTVpb2l5VzBpVk9TSGZLQl9WNnRfS3M0cUF0UXNIZGg0dzBpb3ZsZDNENHM0b0poNV9zcUZnendrZ3lyS0pYU0d6Z9IBX0FVX3lxTE9xVXpPdjM0R2d1LTE5TzNWSE04OW1GSDVZTW9RdWd3N2MxcnZtYU42eUVwZW1abUZmdHdQNXJOblJub0dPSWhXdWhpbDVHM0JzQmxXZDJxbjRxMWJtbUJB?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"印度德里7月31日晚間開始下起大雨，部分地區1小時內降下89.5毫米雨量，雨勢持續不斷導致淹水，街道上的汽車淹水達到半車高。
中央社記者觀察，7月31日下午5時左右，德里開始下起雨，隨後雨勢加大，下午6時起雨勢漸強，天空也不斷出現閃電。
由於大雨不斷，多處開始積水。部分五星級飯店停車場淹水，負責停車的服務生開始急忙通知房客，將車輛移往高處，甚至已調派消防車到場，隨時待命救援。截至8月1日凌晨，德里多個氣象站紀錄的累積降雨超過100毫米。
印度斯坦時報（Hindustan Times）指出，31日晚間的降雨讓德里市區多數地方淹水，也因此打亂了空中交通。
氣象當局官員表示，德里大部分地區的雨勢，直到8月1日凌晨2時30分左右才逐漸減緩。
印度氣象部門IMD預測，今天德里仍會有降雨情況出現。",經濟日報,11 天前
快訊》對流雲系發展旺盛！氣象署：8縣市大雨特報| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBGZXh3djBJQTI5eXBkdXJOa0ZiOE1RQmNnX3dOZno3bGxOMVFLWTZhUExSMlktdjBrbUlDcFBaYjdVYlhwRkpEZjlJdGlCeXFra2dwazBxNjQ3Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"今(18)日午後對流雲系發展旺盛影響，易有短延時強降雨，中央氣象署表示，新竹至高雄山區有局部大雨發生的機率，請注意雷擊及強陣風，山區慎防坍方、落石及溪水暴漲。
氣象署對8縣市發布大雨特報，包括新竹縣、苗栗縣、台中市、南投縣、雲林縣、嘉義縣、台南市、高雄市。",Newtalk新聞,7月18日
快訊／雨彈來襲！16縣市大雨特報警戒,https://news.google.com/read/CBMigAJBVV95cUxPaUZOTzI4NXpDOVNGQm1NQURTZ0JWUVYwTU1DNl84bUFkc0k3VkJaRElGOFRFWGZDQjVVc2ZHYVFQTTV2U0VGa3Bjamp0ZHNVMDBwMFg4ZkhmUUNsajZZclZ5UkdEUHdlcVpnaUdCeC0yeG9CYUphYUdmOUlLM21ULW92STJkYURhemxFcGNxc29oYUVSN0plX2tRa0lMcVRvYVFyaHYwdmw3Zndzc2Z6eTI1X3BQSWs3QjY0Z3I1VVV6NHZKTWVQck85Wkw4ckRoQjQtOUtLSnZSbW55d0FqR1NNZ0lORTVabmJuZ0lpUFFxTENxSk1BRVZ5NHRYQUsy?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"今（12）日中午12時，中央氣象署針對16縣市發布大雨特報，提醒民眾出門需多加留意。
氣象署指出，對流雲系發展旺盛，易有短延時強降雨，今(12)日針對以下16縣市發布大雨特報，分別是臺北市、新北市、桃園市，新竹市，苗栗縣、台中市、南投縣、雲林縣、嘉義市、嘉義縣、臺南市、高雄市、屏東縣、宜蘭縣、花蓮縣、台東縣及各地山區有局部大雨發生的機率，請注意雷擊及強陣風，山區慎防坍方及落石。
氣象署今（12）日針對16縣市發布大雨特報。
 
更多東森新聞報導
8億新宿舍「插筆電就走火」勤益爆沒投保竟想凹學生賠
台灣「草莓麻糬披薩」紅遍國際 義大利人傻眼：好痛苦
吃到飽還要打包高麗菜 店長拒絕遭客訴態度不佳",Yahoo奇摩新聞,10 小時前
快訊》雨區再擴大！16縣市大雨特報下到入夜| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBfdlVGOVQ4M0pXOWJpc1duZXFRMVFuM09EMGtIZ3ppeUl4cGwzUElpMnJWd1NhSjctUzNPZ3JMOUI4SXV3c0lSejFkcnVXS3VSZm1KWEhHU3daQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"對流雲系發展旺盛，易有短延時強降雨，今(11)日北部、宜蘭、花蓮、南投地區及台中、雲林至屏東山區有局部大雨發生的機率，請注意雷擊及強陣風，山區請慎防坍方及落石。
中央氣象署再發布大雨特報，雨區擴大為16縣市，範圍包括基隆北海岸、台北市、新北市、桃園市、新竹市、新竹縣、苗栗縣、台中市山區、南投縣、雲林縣山區、嘉義縣山區、台南市山區、高雄市山區、屏東縣山區、宜蘭縣、花蓮縣。",Newtalk新聞,昨天
日本北海道大雨河川氾濫 部分地區1天降整月雨量,https://news.google.com/read/CBMiWkFVX3lxTE5TYUxuWWNsa2x6V0xXTWwwWWQ1MlhFM05icTFGaV80ekx1clI3elBXUGR5QU9xaFczRUtIX1RuX3ZqTmd5bTQ2bXFac2tkQ04wUE9IOXZYZHRZd9IBX0FVX3lxTFAydHJPUEtuYkRON1JseDZsQnEzdlh1V25VT3JjeXRMUTlKeVFmeHRSekE3OFhsbU9ZalJGSWVfSmptcWtnTzVyUzM5R3FxeGd4Nm9oTTFXUjM4dlhVck5z?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本北海道今天受到暖濕空氣流入上空影響，以北部為主的地區降下激烈雨勢。部分地區一天降雨量都已超過往年7月一整個月雨量，創當地觀測史上新高紀錄。
綜合日本富士新聞網、讀賣新聞及日本放送協會（NHK）報導，JR北海道受到大雨影響，到今天上午10時45分止，包括特急列車在內總計已停駛40個班次。
北海道留萌市今天時雨量高達52.5毫米，創當地7月觀測史上新高紀錄，造成深川市的雨龍川氾濫。
日本政府國土交通省札幌開發建設部今天上午11時10分宣布，深川市多度志地區發生雨龍川氾濫。深川市在此之前已針對該地區276個家戶共558人，發布警戒等級次高的「避難指示」。
截至上午11時止的24小時累計雨量，北海道旭川市郊區的江丹別地區高達206毫米，比布町也有171.5毫米，兩地一天降雨都已超過往年7月一整個月雨量，雙創當地觀測史上新高紀錄。
同樣位於北海道的鷹栖町，今天上午也因為激烈降雨造成道路淹水。
日本氣象廳表示，受到暖濕空氣流入延伸到北日本的鋒面及位於日本海的低氣壓影響，今天從北日本到西日本的廣泛地區大氣狀態都非常不穩定。
截至上午11時，日本的中國地方與北陸地方等地都被發展旺盛的雨層雲所籠罩，包括山口縣山口市與石川縣珠洲市都降下激烈雨勢。
氣象單位預測低氣壓接下來將通過北海道，鋒面也將南移到東北地方及北陸地方附近，到今天深夜止，東北及北陸地方的部分地區可能會出現非常激烈雨勢。
不過，日本今天多數地區仍出現猛烈酷暑，預料靜岡市將出現高達攝氏38度的危險酷暑。
東京市區今天已出現36度高溫的「猛暑日」，茨城縣水戶市與埼玉縣埼玉市等地同樣出現36度高溫，大阪市也有34度左右。",經濟日報,7月24日
快訊》對流發展旺盛！16縣市大雨特報下到入夜| 生活,https://news.google.com/read/CBMiWkFVX3lxTE5TSlJkenBHRTkwclYxTmlobWFXM2lackU5Nlp1N0hJakc3bm83T1hpTjdHbGJEai1EYTVSNnVsaFNmUEktT1VwNmxFSG5peW9pb0c2cGVQdGN3QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"對流發展旺盛，中央氣象署今(12)日中午12時25分針對16縣市發布大雨特報，降雨持續到晚上，請注意雷擊及強陣風。
氣象署指出，對流雲系發展旺盛，易有短延時強降雨，今日嘉義以南、宜蘭、南投地區及各地山區有局部大雨發生的機率，請注意雷擊及強陣風，山區慎防坍方及落石。
大雨特報
影響時間：12日下午至12日晚上
大雨：台北市山區、新北市山區、桃園市山區、新竹縣山區、苗栗縣山區、台中市山區、南投縣、雲林縣山區、嘉義市、嘉義縣、台南市、高雄市、屏東縣、恆春半島、宜蘭縣、花蓮縣山區、台東縣山區",Newtalk新聞,10 小時前
颱風直撲 日本氣象廳籲嚴防總雨量逾整月的大雨,https://news.google.com/read/CBMiWkFVX3lxTE9kSmcxRUtBZnZmU2N0NGdPSVppcVk1X092ekhsTFZKX0JxWFQxU1V4anUyN3NKcEVQMm5YQUVsUjNwamF2NTNqRnFEb0pfWldndjlLQW5Ic0loUdIBX0FVX3lxTE5UalFuNHVuNXJpOGJ2ZGxEU2RadTdCbUdlRHhNZnNPeWotXy1pOWUxdnQwNExxNVQ5Rk5jVGxzaDQyRFl0SWp2Q1EtRmZpeHBMbFllMEhndTJ4ZU9pNmM4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"今年第5號颱風瑪莉亞正直撲日本，日本氣象廳預測可能會在8月12日登陸東北地方，挾帶總雨量可能超過當地往年8月一整個月雨量，呼籲對象地區民眾嚴防可能災情。
日本放送協會（NHK）報導，針對颱風直撲，氣象廳今天下午跟國土交通省聯合舉行記者會，說明颱風接下來行進路徑及應警戒重點等事項。
氣象廳主任預報官立原秀一說，預測瑪莉亞將在8月12日相當接近東北地方，且有登陸可能。
立原說，目前預測颱風可能會為東北地方帶來300毫米的24小時累積雨量，「總雨量可能會超過當地往年8月一整個月的雨量」。
他呼籲，以東北地方為主的北日本到東日本地方民眾，要嚴防可能發生的土石災害、河水暴漲氾濫及低窪地區淹水等災情。
另外，目前預測8月11日到12日風勢將增強，海上也會出現大風暴，立原呼籲民眾嚴防暴風及大浪。",經濟日報,2 天前
一級颶風黛比登陸美國佛州 街道變河流、監視器鏡頭狂搖 移動緩慢迎災難性豪雨,https://news.google.com/read/CBMi4wNBVV95cUxQVDdvV081ejJfdlh1UTFUakNHSk9uclRBTU9MSC1PUGVULTlaS0hHblVFSWlkQUdUenlnU0dKWnhjNnpCNnJsTUN5UE1ZQUdSNnYtdFQ1b3NHZllaOXBCTmlwMmtqc3llNkZLT2U5XzQyRzVmN0lfSzZtT0lBei1Rb2VPUjN6cWlxT1ZnOTZlbzZ3T3JWSDIyeGM3dzRYTG95bUFkQ0VnZ19TN1JIU3FwWHdWdnVhd3VxSF9yY3BnU1FuOFo5OXQ0b3ZuMFlaR3RIenBnckU4dUh4SDIwTFVPZ0FaWUI4VW5kREFPdXVfVV9ZREJ6NlF5T0NETGlNay1mT3U0ZWxzd3RCekdvTEJITTRmdmNRUmJRdUxIQV9nVGJ6OEU2UXFrZjI0NS1CV01wdVYweXJTbHgyVnZTUlRVVGl3bElLVDNUQWlzWHZBYjFkWHdEanVNT1Nqa3JfMHBOc0tZRWdPV2E2dVpyNThRdXcteVJTNEFibHFYWndBZlE2MG1xOGJNWFJuLTU0dXczM29EZG81eWZpR0FnOHhuSjNUb05MS0dhQnQtY2xDVUZNb1RYd0JZSVMwQ013QktKemRHVWt1VmRWTWQ4SDZMam5uWEVEWFVSSGtIUlU1cFhyMjg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"一級颶風「黛比」（Debby）8月4日登陸美國佛羅里達州大彎地區（Big Bend），引發豪雨成災，部分地區已成汪洋一片，街道變成河流，當地民眾只能騎乘越野車渡河，道路更驚現大洞；小鎮薩旺尼（Suwannee）也遇水災，消防人員行經水淹及膝的社區，了解災情。坦帕灣交通監視器畫面顯示，車輛在強風豪雨中緩慢前行，鏡頭則被風吹得劇烈搖晃。
佛州至少四人在本次風暴中喪生，衛星影像記錄了黛比登陸瞬間，並緩慢地向大西洋地區移動，根據5日最新報告，黛比已減弱為熱帶風暴，但威力依舊不可小覷，預料一周內為美國東南部將帶來傾盆大雨與災難性洪水，其中喬治亞州、南卡羅來納州恐有歷史豪雨。由於移動減速中，帶來的雨量可能更多。
CNN指出，由於氣候變遷加劇，讓風暴力量增強，降雨和風勢更大，由於墨西哥灣接近創紀錄的溫暖海水，使黛比風力迅速增大。另外氣象部門估計，2024年6月開始的颶風季節，將有多次大西洋颶風，可能超越2005年的颶風季，當年出現了致命的卡崔娜颶風（Katrina）和莉塔颶風（Rita）。",Yahoo奇摩新聞,6 天前
日本山形遭遇大雨河水溢堤 新幹線部分區間停駛,https://news.google.com/read/CBMiWkFVX3lxTE5pU2xpWGlWQ1c2ZlhUVE96Zm9oSk1PNjNFZ2xZTVhEaU5kUnF1SWxHUlMyVFB6MlEyS3FOSWdpTTZmdGE3cTMxaGJBb3dITGp6TExZbFc0WU5mUdIBX0FVX3lxTE9sQnVudFk3UG9sWnN5bzZjWE96WkhLMjI1bXRsand6ZGtOb3FoYmoxRzZLbGhPQ215T1lfMW5aQUdRWTdETUMzX1oxLW5mRXdUcG1tYW56ZjhzTUpRNUhV?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本氣象廳今天針對山形縣酒田市與遊佐町發布大雨特別警報以及警戒程度最高的「緊急安全確保」，呼籲當地居民盡快疏散。流經酒田市內的荒瀨川，河水已經溢過堤防。
日本經濟新聞報導，JR東日本公司今天宣布，受到大雨的影響，山形新幹線山形站與新庄站區間，列車全天停駛。
日本放送協會（NHK）報導，氣象廳指出，梅雨鋒面滯留日本海至北海道、東北地區，暖濕空氣沿著太平洋高壓邊緣流入東北地區，導致靠日本海側的東北地區大氣狀態相當不穩定，山形縣與秋田縣等地因此降下大雨。
山形縣政府表示，這是數十年來前所未有的大雨。
氣象廳今天下午1時過後宣布山形縣的庄內與最上地區出現「線狀降水帶」（台灣稱線狀對流，指積雨雲呈線狀排列，可綿延50到300公里遠）。
今天下午5時前，青森縣深浦町觀測到時雨量44毫米；山形縣大石田町觀測到時雨量41毫米的激烈雨勢。
此外，秋田縣也出現大雨，由利本莊市東由利地區截至今天下午2時，24小時累計雨量達234毫米；湯澤市截至今天下午4時前，24小時累計雨量達210毫米，超越往年7月單月份的雨量。這兩個地區的24小時累計雨量均創下當地開始觀測雨量以來新高。
受到大雨影響，流經秋田縣由利本莊市的子吉川決堤，日本政府國土交通省（簡稱國交省）今天傍晚已經就此發布「氾濫發生情報（資訊）」。而子吉川的支流石澤川今天清晨決堤。
除此之外，國交省研判流經山形縣的日向川、鮭川、大山川面臨極大的氾濫風險。
日本當局預測，靠日本海一側為主的東北地區會持續降雨到明天，局部地區恐雨勢強勁。",經濟日報,7月25日
